run_id	runseed	popseed	t	component	centrality	density	EffectiveSize	deg_cent
xCoEDfL9	1	2	10	97		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	98		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	99		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	100		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	101		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	102		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	103		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	104		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	105		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	106		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	107		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	108		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	109		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	110		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	111		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	112		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	113		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	114		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	115		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	116		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	117		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	118		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	119		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	120		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	121		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	122		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	123		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	124		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	125		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	126		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	127		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	128		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	129		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	130		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	131		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	132		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	133		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	134		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	135		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	136		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	137		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	138		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	139		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	140		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	141		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	142		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	143		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	144		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	145		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	146		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	147		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	148		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	149		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	150		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	151		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	152		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	153		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	154		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	155		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	156		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	157		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	158		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	159		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	160		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	161		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	162		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	163		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	164		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	165		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	166		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	167		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	168		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	169		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	170		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	171		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	172		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	173		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	174		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	175		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	176		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	177		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	178		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	179		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	180		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	181		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	182		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	183		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	184		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	185		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	186		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	187		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	188		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	189		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	190		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	191		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	192		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	193		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	194		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	195		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	196		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	197		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	198		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	199		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	200		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	201		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	202		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	203		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	204		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	205		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	206		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	207		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	208		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	209		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	210		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	211		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	212		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	213		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	214		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	215		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	216		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	217		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	218		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	219		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	220		0.0000	0.0000	nan	1.0
